title,company,xp,link
Python SW Engineer,파인더스에이아이,경력 2년 이상,https://www.wanted.co.kr/wd/271967
[CROSS SHOP] Python Backend Developer,크로스이엔에프,경력 3-8년,https://www.wanted.co.kr/wd/238977
파이썬 개발자,엑시온랩스,신입,https://www.wanted.co.kr/wd/297378
백엔드 리드 엔지니어 (Python),엘리스,경력 5-10년,https://www.wanted.co.kr/wd/230306
시니어 파이썬 개발자(LLM & Remote Sandbox Platform),포지큐브(POSICUBE),경력 4년 이상,https://www.wanted.co.kr/wd/297551
"BE Engineer (Python, Django DRF)",뤼이드(Riiid),경력 5년 이상,https://www.wanted.co.kr/wd/298030
Python Developer (ERP 담당),스피어코퍼레이션,경력 3년 이상,https://www.wanted.co.kr/wd/290047
파이썬 개발자 (3년 이상),코너,경력 3-10년,https://www.wanted.co.kr/wd/286858
Python 개발자 (5년 이상),씨어스테크놀로지,경력 5년 이상,https://www.wanted.co.kr/wd/296553
Python Backend Developer,크로스이엔에프,경력 5-8년,https://www.wanted.co.kr/wd/238973
파이썬(Python) 개발자,에잇퍼센트(8PERCENT),경력 3-7년,https://www.wanted.co.kr/wd/224963
"풀스택 솔루션(제품) 개발자 (java, python, js)",에스티로직(STLogic),경력 3-10년,https://www.wanted.co.kr/wd/288227
backend (python) 개발자,씨메스(CMES),경력 3-10년,https://www.wanted.co.kr/wd/289067
Python Algorithm Engineer,제너레잇,경력 3-10년,https://www.wanted.co.kr/wd/288502
데이터 사이어티스트 (Python/ 딥러닝 중급 이상),디에스이트레이드,경력 5-8년,https://www.wanted.co.kr/wd/292584
파이썬(Python) 개발자,바로에이아이,경력 3년 이상,https://www.wanted.co.kr/wd/285399
백엔드 엔지니어 (Python),엘리스,경력 3-5년,https://www.wanted.co.kr/wd/57878
"응용 소프트웨어 엔지니어 (AI, Python)",에스엠해썹,경력 3-5년,https://www.wanted.co.kr/wd/281226
생성형 AI Python Fullstack 개발자,콘센트릭스서비스코리아CATALYST,경력 5년 이상,https://www.wanted.co.kr/wd/274337
"C#, C++, Python, IoT MCU(아두이노,RPi) 개발자",아이티로그,경력 1-3년,https://www.wanted.co.kr/wd/187186
다축 로봇 제어 엔지니어 (Python),에이블랩스,경력 2년 이상,https://www.wanted.co.kr/wd/259677
백엔드 엔지니어 (Python/Django),뮤즈라이브(Muzlive),경력 2-10년,https://www.wanted.co.kr/wd/18295
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자 (신입)",메디인테크,신입,https://www.wanted.co.kr/wd/147487
"python, go 백엔드 개발자",크로논랩스,경력 3년 이상,https://www.wanted.co.kr/wd/250476
"[전문연구요원 가능] C/C++, Python 로봇 제어 개발자",메디인테크,경력 1-20년,https://www.wanted.co.kr/wd/100407
백엔드 개발자 (python) (전문연구요원/산업기능요원 전직가능),피알앤디컴퍼니(헤이딜러),경력 4-8년,https://www.wanted.co.kr/wd/59335
Python 백엔드 서버 개발자,앱테스트에이아이,신입-경력 4년,https://www.wanted.co.kr/wd/243341
AI 서비스 - 자연어처리(NLP)/ Python 엔진 개발,아일리스프런티어(ailysfrontier),경력 1-3년,https://www.wanted.co.kr/wd/293678
[Tech] Python Backend Developer,위대한상상(요기요),경력 3-10년,https://www.wanted.co.kr/wd/293434
"백엔드 개발자 Python, Django (1~5년)",라프텔(Laftel),경력 1-5년,https://www.wanted.co.kr/wd/293427
[신입] 백엔드 엔지니어 (Python),엘리스,신입-경력 3년,https://www.wanted.co.kr/wd/162405
Backend 개발자 - Python (4년 이상),동신항운,경력 3-12년,https://www.wanted.co.kr/wd/291738
Python Back-end Enginner (문서처리 파이프라인 / DI),올거나이즈코리아(Allganize Korea),경력 2-5년,https://www.wanted.co.kr/wd/277865
[Python] Back-end Developer,단비교육,경력 3-7년,https://www.wanted.co.kr/wd/236175
[플레이오] Python 백엔드 개발자 (주니어/1년 이상),지엔에이컴퍼니,경력 1년 이상,https://www.wanted.co.kr/wd/193602
파이썬 백엔드 개발자,에임(AIM),경력 2-10년,https://www.wanted.co.kr/wd/2447
