title,company,xp,link
Python SW Engineer,파인더스에이아이,경력 2년 이상,https://www.wanted.co.kr/wd/271967
[CROSS SHOP] Python Backend Developer,크로스이엔에프,경력 3-8년,https://www.wanted.co.kr/wd/238977
C++ 소프트웨어 개발자(신입),펜타시큐리티,신입,https://www.wanted.co.kr/wd/296262
[프론트엔드] CARE ID 솔루션,윤회,경력 3-7년,https://www.wanted.co.kr/wd/288761
파이썬 개발자,엑시온랩스,신입,https://www.wanted.co.kr/wd/297378
웹 백엔드 개발자 (5년차 이상),뉴스젤리(Newsjelly),경력 5년 이상,https://www.wanted.co.kr/wd/296313
백엔드 리드 엔지니어 (Python),엘리스,경력 5-10년,https://www.wanted.co.kr/wd/230306
SCM 컨설팅(Python 기반),디에스이트레이드,경력 1-12년,https://www.wanted.co.kr/wd/295618
Backend/ML Developer,에이엑스지(AXZ),경력 1-3년,https://www.wanted.co.kr/wd/298191
시니어 파이썬 개발자(LLM & Remote Sandbox Platform),포지큐브(POSICUBE),경력 4년 이상,https://www.wanted.co.kr/wd/297551
[쿠팡파이낸셜] Staff Credit Strategy Analyst,쿠팡,경력 5-25년,https://www.wanted.co.kr/wd/290794
사이버보안 테스트 솔루션 백엔드 개발자 (7년이상),아우토크립트,경력 7년 이상,https://www.wanted.co.kr/wd/256240
"BE Engineer (Python, Django DRF)",뤼이드(Riiid),경력 5년 이상,https://www.wanted.co.kr/wd/298030
NPU Application Engineer (전문연구요원 가능),오픈엣지테크놀로지,경력 2-14년,https://www.wanted.co.kr/wd/240871
Platform Development Engineer,두나미스아트테크놀로지스,경력 3-10년,https://www.wanted.co.kr/wd/289929
Sr. Backend Engineer,에이아이트릭스(AITRICS),경력 5-10년,https://www.wanted.co.kr/wd/285774
Python Developer (ERP 담당),스피어코퍼레이션,경력 3년 이상,https://www.wanted.co.kr/wd/290047
파이썬 개발자 (3년 이상),코너,경력 3-10년,https://www.wanted.co.kr/wd/286858
Senior Backend Engineer (7년 이상),지엔터프라이즈,경력 7-15년,https://www.wanted.co.kr/wd/297361
DS(Data Scientist),원프레딕트(onepredict),경력 1-2년,https://www.wanted.co.kr/wd/291298
NoC RTL Design Engineer (전문연구요원 가능),오픈엣지테크놀로지,경력 2-16년,https://www.wanted.co.kr/wd/240585
DRAM PHY Silicon Validation Engineer (전문연 가능),오픈엣지테크놀로지,경력 2-16년,https://www.wanted.co.kr/wd/240828
Backend Tech Lead (CTO Track),렛서,경력 7년 이상,https://www.wanted.co.kr/wd/298515
Python Backend Developer,크로스이엔에프,경력 5-8년,https://www.wanted.co.kr/wd/238973
Python 개발자 (5년 이상),씨어스테크놀로지,경력 5년 이상,https://www.wanted.co.kr/wd/296553
Full Stack Engineer (Front-End Leaning),두부,경력 5년,https://www.wanted.co.kr/wd/291146
프라이빗 클라우드 제품 개발,파이오링크,경력 1-10년,https://www.wanted.co.kr/wd/281795
전문연구요원 프라이빗 클라우드 제품 개발,파이오링크,신입,https://www.wanted.co.kr/wd/281772
풀스텍 개발자,어반데이터랩,경력 5-15년,https://www.wanted.co.kr/wd/292985
데이터 엔지니어(5년 이상),이노케어플러스,경력 5-7년,https://www.wanted.co.kr/wd/285441
백엔드 개발자 - 서비스 (Lead),트래블월렛,경력 11-12년,https://www.wanted.co.kr/wd/291421
고객관리 프로그램 소프트웨어 개발자 (3년 이상),케어랩스,경력 3년 이상,https://www.wanted.co.kr/wd/287129
서버 엔지니어,와탭랩스(WhaTapLabs),경력 5년 이상,https://www.wanted.co.kr/wd/268246
전문연구요원 (병역특례) 임베디드 개발자,인텔렉투스,신입 이상,https://www.wanted.co.kr/wd/291157
[연구소 로봇] 로봇 제어 Engineer : Senior(과장-부장급) [박사급],리브스메드,경력 7-18년,https://www.wanted.co.kr/wd/250101
AI Lifecyle 유지관리를 위한 AI Engineer,씨메스(CMES),경력 3-20년,https://www.wanted.co.kr/wd/288032
Data Scientist(Analyst),화해글로벌,경력 3-7년,https://www.wanted.co.kr/wd/282521
연구그룹 알고리즘 팀장급 (전문연구요원 포함),에이엠시지(AMCGCo.Ltd.),경력 10-20년,https://www.wanted.co.kr/wd/286385
의료 영상 AI 모델 개발자,아이넥스코퍼레이션,경력 2년 이상,https://www.wanted.co.kr/wd/298933
백엔드 개발 팀장,씨에스엠17,경력 5년 이상,https://www.wanted.co.kr/wd/218163
백엔드 개발자 (5년 이상),아이헤이트플라잉버그스,경력 5-7년,https://www.wanted.co.kr/wd/289348
